node_idx,node_id
0,drc_buf_sp164977
1,drc_buf_sp164978
2,drc_buf_sp164979
3,drc_buf_sp164980
4,drc_buf_sp164981
5,drc_buf_sp164982
6,drc_buf_sp164983
7,drc_buf_sp164984
8,drc_buf_sp165026
9,drc_buf_sp165027
10,drc_buf_sp165028
11,drc_buf_sp165029
12,drc_buf_sp165030
13,drc_buf_sp165031
14,drc_buf_sp165032
15,drc_buf_sp165033
16,drc_buf_sp165077
17,drc_buf_sp165078
18,drc_buf_sp165079
19,drc_buf_sp165082
20,drc_buf_sp165083
21,drc_buf_sp165146
22,drc_buf_sp165147
23,drc_buf_sp165148
24,drc_buf_sp165270
25,drc_buf_sp165271
26,drc_buf_sp165370
27,drc_buf_sp165428
28,drc_buf_sp165457
29,drc_buf_sp165486
30,drc_buf_sp165573
31,drc_buf_sp165576
32,drc_buf_sp165631
33,drc_buf_sp165634
34,drc_buf_sp165659
35,drc_buf_sp165660
36,drc_buf_sp165689
37,drc_buf_sp165692
38,drc_buf_sp165718
39,drc_buf_sp165747
40,drc_buf_sp165775
41,drc_buf_sp165777
42,drc_buf_sp165826
43,drc_buf_sp165827
44,drc_buf_sp165829
45,drc_buf_sp165935
46,drc_buf_sp165962
47,drc_buf_sp165988
48,drc_buf_sp166284
49,drc_buf_sp166329
50,drc_buf_sp166354
51,drc_buf_sp166379
52,drc_buf_sp166404
53,drc_buf_sp166429
54,drc_buf_sp166454
55,drc_buf_sp166649
56,drc_buf_sp170772
57,drc_buf_sp213876
58,drc_buf_sp213877
59,drc_buf_sp213888
60,drc_buf_sp213889
61,drc_buf_sp213900
62,drc_buf_sp213901
63,drc_buf_sp213913
64,drc_buf_sp215496
65,drc_buf_sp225155
66,drc_buf_sp225156
67,drc_buf_sp225157
68,drc_buf_sp40
69,drc_buf_sp41
70,drc_buf_sp45
71,drc_buf_sp46
72,drc_buf_sp47
73,drc_buf_sp48
74,drc_buf_sp49
75,drc_bufs12
76,drc_bufs15
77,drc_bufs164353
78,drc_bufs164354
79,drc_bufs164361
80,drc_bufs164364
81,drc_bufs164367
82,drc_bufs164370
83,drc_bufs164373
84,drc_bufs164376
85,drc_bufs164379
86,drc_bufs164382
87,drc_bufs164385
88,drc_bufs164388
89,drc_bufs164393
90,drc_bufs164399
91,drc_bufs164405
92,drc_bufs164411
93,drc_bufs164417
94,drc_bufs164423
95,drc_bufs164429
96,drc_bufs164435
97,drc_bufs164441
98,drc_bufs164453
99,drc_bufs164456
100,drc_bufs164459
101,drc_bufs164462
102,drc_bufs164466
103,drc_bufs164469
104,drc_bufs164470
105,drc_bufs164472
106,drc_bufs164473
107,drc_bufs164475
108,drc_bufs164476
109,drc_bufs164478
110,drc_bufs164479
111,drc_bufs164481
112,drc_bufs164482
113,drc_bufs164484
114,drc_bufs164485
115,drc_bufs164487
116,drc_bufs164488
117,drc_bufs164490
118,drc_bufs164491
119,drc_bufs164493
120,drc_bufs164494
121,drc_bufs164496
122,drc_bufs164497
123,drc_bufs164499
124,drc_bufs164500
125,drc_bufs164502
126,drc_bufs164503
127,drc_bufs164505
128,drc_bufs164506
129,drc_bufs164508
130,drc_bufs164509
131,drc_bufs164511
132,drc_bufs164512
133,drc_bufs164514
134,drc_bufs164515
135,drc_bufs164517
136,drc_bufs164518
137,drc_bufs164520
138,drc_bufs164521
139,drc_bufs164523
140,drc_bufs164524
141,drc_bufs164526
142,drc_bufs164527
143,drc_bufs164529
144,drc_bufs164530
145,drc_bufs164532
146,drc_bufs164533
147,drc_bufs164535
148,drc_bufs164536
149,drc_bufs164538
150,drc_bufs164539
151,drc_bufs164541
152,drc_bufs164542
153,drc_bufs164544
154,drc_bufs164545
155,drc_bufs164547
156,drc_bufs164548
157,drc_bufs164550
158,drc_bufs164551
159,drc_bufs164553
160,drc_bufs164554
161,drc_bufs164556
162,drc_bufs164557
163,drc_bufs164559
164,drc_bufs164560
165,drc_bufs164562
166,drc_bufs164563
167,drc_bufs164565
168,drc_bufs164566
169,drc_bufs164571
170,drc_bufs164572
171,drc_bufs164574
172,drc_bufs164577
173,drc_bufs164580
174,drc_bufs164583
175,drc_bufs164586
176,drc_bufs164589
177,drc_bufs164590
178,drc_bufs164592
179,drc_bufs164595
180,drc_bufs164596
181,drc_bufs164598
182,drc_bufs164601
183,drc_bufs164604
184,drc_bufs189334
185,drc_bufs189335
186,drc_bufs189336
187,drc_bufs189337
188,drc_bufs189338
189,drc_bufs189339
190,drc_bufs189340
191,drc_bufs189341
192,drc_bufs189342
193,drc_bufs189343
194,drc_bufs189344
195,drc_bufs189345
196,drc_bufs190211
197,drc_bufs190212
198,drc_bufs190213
199,drc_bufs190214
200,drc_bufs190215
201,drc_bufs190216
202,drc_bufs213859
203,drc_bufs6
204,fopt
205,fopt1
206,fopt1322
207,fopt1377
208,fopt1378
209,fopt1385
210,fopt162394
211,fopt162402
212,fopt162413
213,fopt162431
214,fopt162437
215,fopt162699
216,fopt162739
217,fopt162752
218,fopt162754
219,fopt162757
220,fopt162758
221,fopt162760
222,fopt162854
223,fopt162859
224,fopt162860
225,fopt163534
226,fopt163538
227,fopt163540
228,fopt163741_dup
229,fopt163801
230,fopt163956
231,fopt163967
232,fopt163968
233,fopt163976
234,fopt163978
235,fopt164030
236,fopt164034
237,fopt164037
238,fopt164092
239,fopt167964
240,fopt168634
241,fopt168635
242,fopt168636
243,fopt168641
244,fopt168642
245,fopt168704
246,fopt168784
247,fopt168785
248,fopt169158
249,fopt169162
250,fopt169190
251,fopt169192
252,fopt169193
253,fopt170775
254,fopt171563
255,fopt171564
256,fopt172293
257,fopt173083
258,fopt173087
259,fopt173234
260,fopt173235
261,fopt173238
262,fopt173240
263,fopt173241
264,fopt173242
265,fopt173278
266,fopt173279
267,fopt173311
268,fopt173318
269,fopt173319
270,fopt173320
271,fopt173873
272,fopt174830
273,fopt174832
274,fopt174833
275,fopt175575
276,fopt176458
277,fopt176651_dup
278,fopt176671
279,fopt177154
280,fopt177156
281,fopt178088
282,fopt178089
283,fopt178090
284,fopt178139
285,fopt178188
286,fopt178189
287,fopt178202
288,fopt178203
289,fopt178204
290,fopt178207
291,fopt178822
292,fopt179708
293,fopt179709
294,fopt181935
295,fopt181975
296,fopt181996
297,fopt182304_dup188806
298,fopt182409
299,fopt182608
300,fopt182915
301,fopt184226
302,fopt184227
303,fopt184617
304,fopt184619
305,fopt184937
306,fopt185166
307,fopt185167
308,fopt185394
309,fopt185483
310,fopt185622
311,fopt186117
312,fopt187722
313,fopt188056
314,fopt188067
315,fopt188071
316,fopt188226
317,fopt188811
318,fopt188959
319,fopt189096
320,fopt191528
321,fopt191529
322,fopt191858
323,fopt192214
324,fopt192379
325,fopt193817
326,fopt193818
327,fopt193864
328,fopt196699
329,fopt196702
330,fopt198341
331,fopt198349
332,fopt198736
333,fopt198745
334,fopt198752
335,fopt198759
336,fopt2
337,fopt200058
338,fopt200240
339,fopt200277
340,fopt200350
341,fopt200481
342,fopt200647
343,fopt200648
344,fopt200649
345,fopt200829
346,fopt201048
347,fopt201049
348,fopt202285
349,fopt202291
350,fopt202580
351,fopt202581
352,fopt205429
353,fopt205430
354,fopt212222
355,fopt212236
356,fopt212376
357,fopt212592
358,fopt212932
359,fopt214309
360,fopt214310
361,fopt218179
